"model","df","AICc","ΔAICc"
"Estimate ID only",15,120.466153083767,0
"Study ID only",15,131.100162528178,10.6340094444109
"Estimate ID nested in study ID",15,134.975624577299,14.5094714935316
"Estimate ID nested in species",15,137.266153084075,16.8000000003083
"No random effect",15,146.023138285477,25.5569852017098
"Species only",15,150.183320807206,29.717167723439
