"model","df","AICc","ΔAICc"
"trait",8,100.770542730395,0
"trait + heritability type",9,101.137019638178,0.36647690778355
"trait + life stage",10,101.859038202055,1.08849547165991
"trait + heritability type + life stage",11,103.377770458011,2.60722772761588
"trait + growth form",12,109.019885266878,8.24934253648365
"m.fixed.1way.t.h.g",13,109.334170362404,8.56362763200914
