"model","df","AICc","ΔAICc"
"Estimate ID nested in study ID",18,106.328257044418,0
"Estimate ID only",18,107.988444020592,1.66018697617397
"Estimate ID nested in species",18,113.850512990156,7.52225594573787
"Study ID only",18,120.000278690643,13.6720216462249
"Species only",18,178.066732759381,71.7384757149636
"No random effect",18,181.488683783469,75.1604267390507
