"model","df","AICc","ΔAICc"
"Study ID only",23,161.137969645301,0
"Estimate ID only",23,161.179635924495,0.0416662791945157
"No random effect",23,168.120425175912,6.98245553061184
"Estimate ID nested in study ID",23,172.794805053814,11.6568354085137
"Estimate ID nested in species",23,174.45904769259,13.3210780472891
"Species only",23,178.704266482165,17.5662968368643
