"model","df","AICc","ΔAICc"
"Estimate ID only",22,127.720280155492,0
"Study ID only",22,130.913351783957,3.19307162846455
"Estimate ID nested in study ID",22,133.979471014643,6.25919085915039
"Estimate ID nested in species",22,135.566434004997,7.84615384950477
"No random effect",22,141.758926467081,14.0386463115885
"Species only",22,148.073963408972,20.3536832534793
