"model","df","AICc","ΔAICc"
"Estimate ID nested in study ID",18,106.250982641621,0
"Estimate ID only",18,109.9065571745,3.65557453287936
"Estimate ID nested in species",18,115.768626144034,9.51764350241254
"Study ID only",18,122.195875651178,15.9448930095565
"No random effect",18,212.415123554122,106.164140912501
"Species only",18,212.449936458958,106.198953817337
