"model","df","AICc","ΔAICc"
"Estimate ID nested in study ID",15,112.211558779396,0
"Estimate ID only",15,118.178058725,5.96649994560393
"Estimate ID nested in species",15,121.57127907001,9.35972029061367
"Study ID only",15,190.328198204543,78.1166394251472
"Species only",15,311.934799855321,199.723241075925
"No random effect",15,353.584122737606,241.37256395821
