"model","df","AICc","ΔAICc"
"trait + heritability type",6,69.3728207264981,0
"trait",5,69.8689260172461,0.496105290747991
"trait + heritability type + temp manip",7,70.1796771937493,0.806856467251208
"trait + temp manip",6,71.2268731903356,1.85405246383758
"trait x temp manip",11,71.6728294416543,2.30000871515621
"trait + life stage",7,72.5715372664502,3.19871653995216
