"trait","h2_0C","h2_1C","h2_3C","plus1_diff","plus3_diff"
"photochemistry",0.236734973470805,0.233310522048847,0.230820684563767,-0.0144653380603306,-0.0106717753799299
"growth",0.256529754193717,0.246169621430474,0.238734832668036,-0.0403856963719657,-0.0302018937967855
"nutrient content",0.307521628071636,0.330720376042813,0.348372606662844,1.07543777690255,1.05337509237032
"bleaching",0.476454859094223,0.320115105672682,0.229085324549132,-0.328131302341538,-0.284365778154273
"immune response",0.305671280544426,0.655561885377562,1.05730166600984,2.14466299944814,1.61281747702721
"survival",0.831181526769685,0.793214954936495,0.766310660100875,-0.0456778340355369,-0.0339180378133109
